ID,Condition,Role,alpha_signed,neurons,n_entities,n_events,bot,n_tokens,mattr,LexicalH,lex_density,DEPID_R,clause_ratio
b68377eaceb6dd0e,-0.6Alpha_10000Neurons,accountant,-0.6α,10000,7.0,10.5,"The story is about a thirsty bird searching for water on a hot day. She was very tired and nearly fainting when she found a pitcher of water under a bench in a park. The water was too deep for her to reach with her short beak, so she looked around and found some pebbles. She dropped the pebbles into the pitcher one by one, which caused the water level to rise. Once the water was within reach, she drank it and flew away happily. The bird used the pebbles to raise the water level, showing cleverness and determination. The setting was a park, and the main challenge was accessing the water. The bird’s actions demonstrate problem-solving and resourcefulness.",121,0.8202061855670105,10.40278369439409,0.5041322314049587,0.4214876033057851,0.0743801652892562
b45c50cd638f3f88,-0.6Alpha_10000Neurons,airport ground staff,-0.6α,10000,7.0,12.0,"The story is about a little bird who was very thirsty on a hot day and searched for water for a long time. She became very tired and was about to faint when she saw a pitcher of water under a bench in a park. She flew down and sat on the pitcher, but the water was too deep for her to reach with her short beak. She looked around and found some pebbles, which gave her an idea. She picked up the pebbles one by one and dropped them into the pitcher, causing the water level to rise. Once the water was within reach, she was able to drink it and flew away happily. The bird’s cleverness in using the pebbles to raise the water level allowed her to quench her thirst.",134,0.8363636363636363,10.09187305427395,0.4701492537313433,0.3805970149253731,0.07462686567164178
a7748adde1db7e07,-0.6Alpha_10000Neurons,architect,-0.6α,10000,7.0,11.5,"The story is about a little bird who was very thirsty on a hot day and searched for water for a long time. She became tired and almost fainted but then saw a pitcher of water under a bench in a park. She sat on the pitcher but couldn’t reach the water because it was too deep for her short beak. She noticed some pebbles nearby and decided to use them. She dropped the pebbles one by one into the pitcher, which caused the water level to rise. Once the water was within reach, she drank it and flew away happily. The bird’s cleverness in using the pebbles to raise the water level allowed her to quench her thirst.",121,0.8523711340206186,10.39517807824299,0.4793388429752066,0.4049586776859504,0.06611570247933884
4a61492dd69bf489,-0.6Alpha_10000Neurons,bank clerk,-0.6α,10000,7.0,11.5,"The story is about a little bird who was very thirsty and had been searching for water for a long time. She was tired and almost fainting when she saw a pitcher of water under a bench in a park. She flew down and sat on the pitcher, but the water was too deep for her to reach with her short beak. She looked around and found some pebbles, which gave her an idea. She dropped the pebbles one by one into the pitcher, and the water level rose. This allowed her to drink the water. She then flew away happily. I don’t know the exact time of day or the type of bird, but I remember the setting was a park, and the bird used pebbles to raise the water level.",133,0.8319266055045871,9.868311050263575,0.4661654135338346,0.4060150375939849,0.05263157894736842
206a1264a38e8fb8,-0.6Alpha_10000Neurons,builder,-0.6α,10000,7.0,11.5,"The story is about a little bird who was very thirsty on a hot day and searched for water for a long time. She became very tired and was about to faint when she noticed a pitcher of water under a bench in a park. She flew down and sat on the pitcher but couldn’t drink from it because the water was too deep for her beak. She looked around and found some pebbles, which gave her an idea. She picked up the pebbles one by one and dropped them into the pitcher, causing the water level to rise. Once the water was within reach, she was able to drink it and flew away happily. The bird’s problem was the depth of the water, and she solved it by using pebbles to raise the level.",137,0.8414159292035399,9.936443674137523,0.4452554744525548,0.3722627737226277,0.06569343065693431
a8426571676d8535,-0.6Alpha_10000Neurons,civil servant,-0.6α,10000,7.0,12.0,"The story is about a little bird who was very thirsty on a hot day and searching for water for a long time. She was very tired and was about to faint when she spotted a pitcher of water under a bench in a park. She flew down and sat on the pitcher but couldn’t reach the water because it was too deep for her short beak. She looked around and found some pebbles, which gave her an idea. She dropped the pebbles one by one into the pitcher, causing the water level to rise. Once the water was high enough, she was able to drink it. The bird then flew away happily. I don’t know the exact time of day or the type of bird, but I remember the setting was a park, and the bird used pebbles to raise the water level so she could drink.",150,0.8314285714285716,9.900777998320178,0.4666666666666667,0.3933333333333333,0.07333333333333333
3ac22ffe1f4df9a2,-0.6Alpha_10000Neurons,cleaner,-0.6α,10000,7.0,11.5,"The story was about a little bird who was very thirsty on a hot day and searched for water for a long time. She was tired and almost fainting when she found a pitcher of water under a bench in a park. She sat on the pitcher but couldn’t reach the water because it was too deep for her short beak. She looked around and found some pebbles, which gave her an idea. She dropped the pebbles one by one into the pitcher, raising the water level until she could finally drink. After quenching her thirst, she flew away happily. The bird showed determination and cleverness by using the pebbles to make the water accessible. The setting was a park, and the main elements were the pitcher, the pebbles, and the bird’s effort to get water.",138,0.8340350877192984,10.35508696397209,0.4782608695652174,0.3985507246376812,0.06521739130434782
aacec48a3ba6aefe,-0.6Alpha_10000Neurons,doctor,-0.6α,10000,7.0,10.0,"The story was about a little bird who was very thirsty on a hot day. She searched for water for a long time but couldn’t find anything to drink. She finally saw a pitcher of water under a bench in a park. The water was too deep for her to reach with her short beak. She looked around and found some pebbles. Using the pebbles, she dropped them one by one into the pitcher, which caused the water level to rise. Once the water was high enough, she was able to drink from it. After quenching her thirst, the bird flew away happily. The bird used problem-solving and resourcefulness to overcome the challenge of drinking the water.",119,0.840421052631579,10.2439209669249,0.4873949579831933,0.4033613445378151,0.07563025210084033
8fb1aa6e509c08f9,-0.6Alpha_10000Neurons,emergency dispatcher,-0.6α,10000,7.0,10.5,"The story is about a thirsty bird searching for water on a hot day. She was very tired and close to fainting when she noticed a pitcher of water under a bench in a park. The water was too deep for her to reach with her short beak, so she looked around and found some pebbles. She dropped the pebbles into the pitcher one by one, which raised the water level. Once the water was within reach, she drank it and flew away happily. The bird used the pebbles to make the water level higher so she could access it. The setting was a park, and the main challenge was the depth of the water. The bird's solution was clever and effective.",123,0.8242424242424243,9.945547735234966,0.4634146341463415,0.4146341463414634,0.07317073170731707
fbe8651cdffbb86d,-0.6Alpha_10000Neurons,engineer,-0.6α,10000,7.0,11.0,"The story is about a little bird who was very thirsty and searching for water on a hot day. She flew for a long time and became very tired, almost fainting. While looking for water, she saw a pitcher under a bench in a park. The pitcher had some water inside, but it was too deep for her to reach with her short beak. She looked around and found some pebbles. Using the pebbles, she dropped them one by one into the pitcher, which caused the water level to rise. Once the water was high enough, she was able to drink it. After quenching her thirst, the bird flew away happily. I don’t know the exact time of day or the type of bird, but I remember the bird was small, the pitcher was under a bench, and the pebbles were used to raise the water level.",148,0.830967741935484,10.08647511362017,0.4864864864864865,0.4324324324324325,0.08108108108108109
b6e897ee8cf608de,-0.6Alpha_10000Neurons,farmer,-0.6α,10000,6.5,12.0,"It was a hot day, and a thirsty bird was searching for water for a long time. She became very tired and was about to faint when she spotted a pitcher of water under a bench in a park. She flew down and sat on the pitcher, but the water was too deep for her to reach with her short beak. She looked around and found some pebbles, which gave her an idea. She dropped the pebbles one by one into the pitcher, raising the water level until she could finally drink. After quenching her thirst, she flew away happily. The bird used the pebbles to make the water accessible, showing cleverness and determination.",114,0.8408888888888888,10.45829625184042,0.4912280701754386,0.412280701754386,0.07017543859649122
f38343524138e4d3,-0.6Alpha_10000Neurons,firefighter,-0.6α,10000,6.0,10.5,"The story is about a thirsty bird searching for water on a hot day. She was very tired and almost fainting when she found a pitcher of water under a bench in a park. The water was too deep for her to reach with her short beak, so she looked around and found some pebbles. She dropped the pebbles into the pitcher one by one, which caused the water level to rise. Once the water was within reach, she drank it and flew away happily. The bird used the pebbles to raise the water level, showing cleverness and determination. The setting was a park, and the main challenge was accessing the water. The bird’s actions demonstrated problem-solving and perseverance.",121,0.8202061855670105,10.36981608800984,0.5041322314049587,0.4214876033057851,0.0743801652892562
195fbbe46d95ca46,-0.6Alpha_10000Neurons,insurance agent,-0.6α,10000,7.0,10.5,"The story was about a little bird who was very thirsty on a hot day. She searched for water for a long time and became very tired, almost fainting. She then spotted a pitcher of water under a bench in a park. The water was too deep for her to reach with her short beak. She found some pebbles and started dropping them into the pitcher, which raised the water level. Once the water was within reach, she drank it and flew away happily. The bird used the pebbles to make the water level higher so she could access it. The setting was a park, and the main challenge was the depth of the water. The bird’s solution was clever and resourceful.",123,0.8404040404040405,10.04986512481141,0.4959349593495935,0.3983739837398374,0.07317073170731707
