ID,Condition,Role,alpha_signed,neurons,bot,bot_clean,Correct,total_num,correctness_ratio
b68377eaceb6dd0e,-0.6Alpha_10000Neurons,accountant,-0.6α,10000,"cat,car,chair,cloud,computer,chair,clock,cow,cake,cup,carpet,can,cat,city,chair,car","cat,car,chair,cloud,computer,chair,clock,cow,cake,cup,carpet,can,cat,city,chair,car",yes,12.0,0.75
b45c50cd638f3f88,-0.6Alpha_10000Neurons,airport ground staff,-0.6α,10000,"cat, car, cake, chair, clock, cloud, cow, computer, camera, cup, coin, city, color, country, carol","cat, car, cake, chair, clock, cloud, cow, computer, camera, cup, coin, city, color, country, carol",yes,15.0,1.0
a7748adde1db7e07,-0.6Alpha_10000Neurons,architect,-0.6α,10000,"cat, car, chair, cloud, clock, city, camera, computer, candy, cake, cricket, cow, chair, coffee, carpet","cat, car, chair, cloud, clock, city, camera, computer, candy, cake, cricket, cow, chair, coffee, carpet",yes,14.0,0.9333333333333333
4a61492dd69bf489,-0.6Alpha_10000Neurons,bank clerk,-0.6α,10000,"cat, car, cake, chair, clock, cloud, cow, computer, cup, car, cat, cake, chair, clock, cloud","cat, car, cake, chair, clock, cloud, cow, computer, cup, car, cat, cake, chair, clock, cloud",yes,9.0,0.6
206a1264a38e8fb8,-0.6Alpha_10000Neurons,builder,-0.6α,10000,"cat,car,chair,clock,cloud,city,computer,carpet,cake,carrot,cow,coffee,cup,can,chair","cat,car,chair,clock,cloud,city,computer,carpet,cake,carrot,cow,coffee,cup,can,chair",yes,14.0,0.9333333333333333
a8426571676d8535,-0.6Alpha_10000Neurons,civil servant,-0.6α,10000,"cat,car,chair,cloud,clock,cake,carpet,computer,chairman,city,color,coffee,cow,circle,chicken","cat,car,chair,cloud,clock,cake,carpet,computer,chairman,city,color,coffee,cow,circle,chicken",yes,15.0,1.0
3ac22ffe1f4df9a2,-0.6Alpha_10000Neurons,cleaner,-0.6α,10000,"cat, car, cake, chair, clock, cloud, cow, computer, cup, cake, city, color, country, car, camera","cat, car, cake, chair, clock, cloud, cow, computer, cup, cake, city, color, country, car, camera",yes,13.0,0.8666666666666667
aacec48a3ba6aefe,-0.6Alpha_10000Neurons,doctor,-0.6α,10000,"cat,car,chair,cloud,clock,computer,carpet,cake,coffee,cow,circle,can,catfish,cherry,chalk","cat,car,chair,cloud,clock,computer,carpet,cake,coffee,cow,circle,can,catfish,cherry,chalk",yes,15.0,1.0
8fb1aa6e509c08f9,-0.6Alpha_10000Neurons,emergency dispatcher,-0.6α,10000,"cat, car, cloud, clock, chair, camera, computer, city, coffee, cake, carrot, cricket, cow, canoe, cake","cat, car, cloud, clock, chair, camera, computer, city, coffee, cake, carrot, cricket, cow, canoe, cake",yes,14.0,0.9333333333333333
fbe8651cdffbb86d,-0.6Alpha_10000Neurons,engineer,-0.6α,10000,"cat, car, computer, cake, chair, clock, cloud, cow, catfish, canoe, camera, cup, cheese, city, clothes","cat, car, computer, cake, chair, clock, cloud, cow, catfish, canoe, camera, cup, cheese, city, clothes",yes,15.0,1.0
b6e897ee8cf608de,-0.6Alpha_10000Neurons,farmer,-0.6α,10000,"cat, cow, car, chair, clock, cloud, computer, cake, cup, cake, color, car, cat, cow, car","cat, cow, car, chair, clock, cloud, computer, cake, cup, cake, color, car, cat, cow, car",yes,10.0,0.6666666666666666
f38343524138e4d3,-0.6Alpha_10000Neurons,firefighter,-0.6α,10000,"cat,car,chair,cloud,clock,computer,carpet,coffee,cake,can,city,camera,chair,cat,clock","cat,car,chair,cloud,clock,computer,carpet,coffee,cake,can,city,camera,chair,cat,clock",yes,12.0,0.8
195fbbe46d95ca46,-0.6Alpha_10000Neurons,insurance agent,-0.6α,10000,"cat, car, chair, clock, cloud, cow, computer, cake, cup, cheese, coat, city, color, candy, camera","cat, car, chair, clock, cloud, cow, computer, cake, cup, cheese, coat, city, color, candy, camera",yes,15.0,1.0
cbe030967d3611a9,-0.6Alpha_10000Neurons,librarian,-0.6α,10000,"cat, car, chair, clock, cloud, city, color, computer, cup, cake, car, cow, cat, cloud, cake","cat, car, chair, clock, cloud, city, color, computer, cup, cake, car, cow, cat, cloud, cake",yes,11.0,0.7333333333333333
