ID,Condition,Role,alpha_signed,neurons,dg_forward,dg_backward,dglt_forward,dglt_backward,dg_forward_error,dg_backward_error,dglt_forward_error,dglt_backward_error,total_error
b68377eaceb6dd0e,-0.6Alpha_10000Neurons,accountant,-0.6α,10000,1,1,1,1,0.0,0.0,0.0,0.0,0.0
b45c50cd638f3f88,-0.6Alpha_10000Neurons,airport ground staff,-0.6α,10000,1,1,1,1,0.0,0.0,0.0,0.0,0.0
a7748adde1db7e07,-0.6Alpha_10000Neurons,architect,-0.6α,10000,1,1,1,1,0.0,0.0,0.0,0.0,0.0
4a61492dd69bf489,-0.6Alpha_10000Neurons,bank clerk,-0.6α,10000,1,1,1,1,0.0,0.0,0.0,0.0,0.0
206a1264a38e8fb8,-0.6Alpha_10000Neurons,builder,-0.6α,10000,1,1,1,1,0.0,0.0,0.0,0.0,0.0
a8426571676d8535,-0.6Alpha_10000Neurons,civil servant,-0.6α,10000,1,1,1,1,0.0,0.0,0.0,0.0,0.0
3ac22ffe1f4df9a2,-0.6Alpha_10000Neurons,cleaner,-0.6α,10000,1,1,1,1,0.0,0.0,0.0,0.0,0.0
aacec48a3ba6aefe,-0.6Alpha_10000Neurons,doctor,-0.6α,10000,1,1,1,1,0.0,0.0,0.0,0.0,0.0
8fb1aa6e509c08f9,-0.6Alpha_10000Neurons,emergency dispatcher,-0.6α,10000,1,1,1,1,0.0,0.0,0.0,0.0,0.0
fbe8651cdffbb86d,-0.6Alpha_10000Neurons,engineer,-0.6α,10000,1,1,1,1,0.0,0.0,0.0,0.0,0.0
b6e897ee8cf608de,-0.6Alpha_10000Neurons,farmer,-0.6α,10000,1,1,1,1,0.0,0.0,0.0,0.0,0.0
f38343524138e4d3,-0.6Alpha_10000Neurons,firefighter,-0.6α,10000,1,1,1,1,0.0,0.0,0.0,0.0,0.0
195fbbe46d95ca46,-0.6Alpha_10000Neurons,insurance agent,-0.6α,10000,1,1,1,1,0.0,0.0,0.0,0.0,0.0
cbe030967d3611a9,-0.6Alpha_10000Neurons,librarian,-0.6α,10000,1,1,1,1,0.0,0.0,0.0,0.0,0.0
a0deca3df713b500,-0.6Alpha_10000Neurons,miner,-0.6α,10000,1,1,1,1,0.0,0.0,0.0,0.0,0.0
88931135d35b172b,-0.6Alpha_10000Neurons,nurse,-0.6α,10000,1,1,1,1,0.0,0.0,0.0,0.0,0.0
