ID,bot,bot_clean,Correct,total_num,correctness_ratio
b68377eaceb6dd0e,"dog,cat,bird,fish,rabbit,squirrel,duck,deer,elephant,giraffe,zebra,lion,tiger,monkey,fox","dog,cat,bird,fish,rabbit,squirrel,duck,deer,elephant,giraffe,zebra,lion,tiger,monkey,fox",yes,15.0,1.0
b45c50cd638f3f88,"cat,dog,bird,fish,snake,horse,elephant,shark,whale,lion,tiger,zebra,monkey,rabbit,duck","cat,dog,bird,fish,snake,horse,elephant,shark,whale,lion,tiger,zebra,monkey,rabbit,duck",yes,15.0,1.0
a7748adde1db7e07,"antelope, armadillo, beaver, bison, cat, cheetah, dog, elephant, falcon, fish, fox, giraffe, goat, hippo, horse","antelope, armadillo, beaver, bison, cat, cheetah, dog, elephant, falcon, fish, fox, giraffe, goat, hippo, horse",yes,15.0,1.0
4a61492dd69bf489,"cat,dog,bird,fish,horse,elephant,monkey,tiger,snake,duck,goat,sheep,zebra,lion,bear","cat,dog,bird,fish,horse,elephant,monkey,tiger,snake,duck,goat,sheep,zebra,lion,bear",yes,15.0,1.0
206a1264a38e8fb8,"cat,dog,bird,fish,rabbit,squirrel,mouse,elephant,tiger,lion,zebra,horse,cow,pig,chicken","cat,dog,bird,fish,rabbit,squirrel,mouse,elephant,tiger,lion,zebra,horse,cow,pig,chicken",yes,15.0,1.0
a8426571676d8535,"cat,dog,bird,fish,rabbit,squirrel,mouse,lion,tiger,elephant,zebra,giraffe,cow,pig,horse","cat,dog,bird,fish,rabbit,squirrel,mouse,lion,tiger,elephant,zebra,giraffe,cow,pig,horse",yes,15.0,1.0
3ac22ffe1f4df9a2,"cat,dog,bird,fish,snake,horse,elephant,monkey,tiger,lion,duck,deer,rabbit,bee,shark","cat,dog,bird,fish,snake,horse,elephant,monkey,tiger,lion,duck,deer,rabbit,bee,shark",yes,15.0,1.0
aacec48a3ba6aefe,"dog,cat,bird,fish,rabbit,horse,cow,sheep,chicken,pig,snake,elephant,lion,tiger,monkey","dog,cat,bird,fish,rabbit,horse,cow,sheep,chicken,pig,snake,elephant,lion,tiger,monkey",yes,15.0,1.0
8fb1aa6e509c08f9,"antelope, armadillo, beaver, bison, cat, cheetah, dolphin, elephant, fox, giraffe, hippo, jaguar, kangaroo, lion, monkey","antelope, armadillo, beaver, bison, cat, cheetah, dolphin, elephant, fox, giraffe, hippo, jaguar, kangaroo, lion, monkey",yes,15.0,1.0
fbe8651cdffbb86d,"cat,dog,bird,fish,snake,elephant,shark,horse,zebra,lion,tiger,monkey,deer,duck,bear","cat,dog,bird,fish,snake,elephant,shark,horse,zebra,lion,tiger,monkey,deer,duck,bear",yes,15.0,1.0
b6e897ee8cf608de,"cat,dog,bird,fish,horse,cow,duck,snake,elephant,shark,deer,rabbit,fox,bee,ant","cat,dog,bird,fish,horse,cow,duck,snake,elephant,shark,deer,rabbit,fox,bee,ant",yes,15.0,1.0
f38343524138e4d3,"cat,dog,bird,fish,rabbit,squirrel,mouse,lion,tiger,elephant,shark,cow,pig,horse,chicken","cat,dog,bird,fish,rabbit,squirrel,mouse,lion,tiger,elephant,shark,cow,pig,horse,chicken",yes,15.0,1.0
195fbbe46d95ca46,"cat,dog,bird,fish,snake,horse,elephant,monkey,tiger,lion,zebra,shark,duck,deer,bee","cat,dog,bird,fish,snake,horse,elephant,monkey,tiger,lion,zebra,shark,duck,deer,bee",yes,15.0,1.0
